item_id,deposit,monthly_rent,district_uuid,room_qty,unit_area,has_elevator,building_floor_count,unit_floor,has_storage_area,property_age
07930b87-60f1-476c-9ff7-89f302d865bf,64800000,1440000,80aa3b0d-de2b-4703-b6ae-539eaf06f253,1,63,FALSE,4,2,TRUE,18
079ee2f6-bbd5-4f03-b69b-c14ee159d1fd,72000000,3024000,3903b3f8-a837-4985-9cd7-96ab17b3cb91,2,96,TRUE,5,5,TRUE,17
07b3fb4b-983f-4e61-8cc4-c8fe2fbfd854,57600000,396000,fd5ad07f-14b2-4491-aeb3-31651e92e1fd,1,68,FALSE,4,3,FALSE,12
07b82361-9246-454e-bcb3-e1d4d13f56b4,216000000,0,c943a9a7-6eab-4b46-9050-bab344e0a650,2,84,TRUE,6,4,FALSE,19
07e08ee6-c0bf-4426-b1f2-880d682cc1cb,79200000,0,b790f536-c274-4147-86e0-94d9b6d7352d,2,64,FALSE,4,3,FALSE,14
07fb83bd-103e-4fff-9321-decd0f36e8bf,93600000,0,340fb2dc-2d83-44b2-9140-0451bdae3b17,1,53,TRUE,5,1,TRUE,12
080c930e-3816-4ebb-8dbe-b8bbb80ff34c,79200000,360000,5e812f0b-18fa-4166-b2df-ee598d4126db,1,53,FALSE,,4,TRUE,14
082526bf-3185-4236-b7f1-641b342317c5,72000000,1080000,2dfe88fc-8999-471d-97a1-e7a9c5c4adc9,2,82,FALSE,,4,TRUE,18
0826230f-d3cd-4d8e-915c-fd2b0cf60e51,93600000,1080000,1c10c124-59c8-4f0f-954d-1b1993c1c01b,2,56,TRUE,4,1,TRUE,14
082791bf-b022-4dbf-923b-09c03d51ddde,57600000,1440000,eb88325f-5388-4cf5-99ad-3c6295a105e9,1,63,FALSE,4,1,TRUE,9
082e2c8f-54f0-4b3d-b882-d0c00b6721bd,216000000,0,3ecc8182-9fba-4b00-8686-222185fa1d95,2,99,TRUE,5,4,TRUE,5
083e64dc-c173-4745-bcc3-88b7ebd1e1c9,28800000,1296000,b790f536-c274-4147-86e0-94d9b6d7352d,1,63,FALSE,,1,FALSE,19
085f2ef2-d670-4475-b0be-b1db56962754,97200000,0,d08dcedb-4fa8-4a12-8e8e-59686103f5c2,1,58,FALSE,3,0,FALSE,28
086b1e8b-7652-4bce-bb6b-f3676bd9483e,100800000,0,e9b5683c-4ca2-4734-8b7f-400e261ad559,2,87,FALSE,2,2,FALSE,24
08715cde-7c7b-4378-b7db-d264ee5f6d75,36000000,2160000,b790f536-c274-4147-86e0-94d9b6d7352d,2,74,FALSE,,2,FALSE,19
0889302c-6517-4cb1-b8b9-740830844eb0,14400000,1152000,30680871-7d7b-49a0-8946-ede2df725fcd,1,53,FALSE,,3,FALSE,17
088b4225-64cb-4de1-917b-2f80fe26ccb2,72000000,1980000,80aa3b0d-de2b-4703-b6ae-539eaf06f253,2,79,TRUE,4,4,TRUE,10
088b940b-c1fb-45bb-bd8c-e1e5e3d8e46b,43200000,1584000,5670dcea-176c-4a2f-b589-957f9a2580d1,2,76,TRUE,,1,FALSE,5
08b2677b-0f99-4c1c-b169-7264d39b8f61,25200000,936000,fefc62c5-4a1e-465c-a0fd-fe01f4ac78bc,1,53,FALSE,4,3,TRUE,9
08ec447e-e206-4e01-b160-9ce47c9f7bfb,57600000,1800000,d08dcedb-4fa8-4a12-8e8e-59686103f5c2,1,63,TRUE,6,2,TRUE,0
08ef7392-65d5-46d3-8c1b-882dd7b53426,21600000,504000,289470b4-d669-4ef3-803b-b6250a4b966c,1,56,FALSE,,2,FALSE,30
08f4b8c5-f0b3-4df8-8bf6-f145bb9552b4,100800000,1080000,ee38804f-d4f3-489e-840a-9bcedbb534fb,2,67,TRUE,,4,FALSE,4
08fc3d73-e205-48d0-b252-81cbbb1336bb,39600000,360000,53abf70b-ee3b-4ecd-bf69-4ab9dcfa65bb,1,50,FALSE,,4,TRUE,11
091d68ec-d2c6-4fcb-9c83-7199b9223ffd,28800000,1224000,d08dcedb-4fa8-4a12-8e8e-59686103f5c2,1,53,FALSE,,1,FALSE,13
092092d6-fdb2-442b-bf65-66721e04b2dc,273600000,1440000,97c9535e-3985-47ce-a84c-a962c838a76b,3,109,FALSE,,4,FALSE,11
09233384-1e5d-415b-836e-5059ffb9896e,93600000,1512000,1c10c124-59c8-4f0f-954d-1b1993c1c01b,2,69,FALSE,4,2,TRUE,15
0927b0f5-bb1b-46bc-845b-0c0b06d83434,28800000,3600000,ceeac06a-a89d-4934-98a8-e6183ef0a0e9,2,64,TRUE,4,2,TRUE,15
